LocationID,zone,borough,centroid_lon,centroid_lat
1,Newark Airport,EWR,-74.174271,40.690244
2,Jamaica Bay,Queens,-73.817644,40.612165
3,Allerton/Pelham Gardens,Bronx,-73.84651,40.864295
4,Alphabet City,Manhattan,-73.975209,40.723853
5,Arden Heights,Staten Island,-74.189803,40.556678
6,Arrochar/Fort Wadsworth,Staten Island,-74.071747,40.601118
7,Astoria,Queens,-73.919365,40.761434
8,Astoria Park,Queens,-73.923396,40.778077
9,Auburndale,Queens,-73.790189,40.750303
10,Baisley Park,Queens,-73.790318,40.677931
11,Bath Beach,Brooklyn,-74.009023,40.602692
12,Battery Park,Manhattan,-74.015477,40.702091
13,Battery Park City,Manhattan,-74.017326,40.709419
14,Bay Ridge,Brooklyn,-74.029246,40.625196
15,Bay Terrace/Fort Totten,Queens,-73.778606,40.790995
16,Bayside,Queens,-73.767972,40.762812
17,Bedford,Brooklyn,-73.950316,40.692399
18,Bedford Park,Bronx,-73.889387,40.868877
19,Bellerose,Queens,-73.72887,40.734682
20,Belmont,Bronx,-73.885366,40.858941
21,Bensonhurst East,Brooklyn,-73.990441,40.596886
22,Bensonhurst West,Brooklyn,-73.995799,40.608806
23,Bloomfield/Emerson Hill,Staten Island,-74.190512,40.604627
24,Bloomingdale,Manhattan,-73.967739,40.802947
25,Boerum Hill,Brooklyn,-73.985929,40.686588
26,Borough Park,Brooklyn,-73.987951,40.630738
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.89082,40.561299
28,Briarwood/Jamaica Hills,Queens,-73.806984,40.712314
29,Brighton Beach,Brooklyn,-73.960507,40.579934
30,Broad Channel,Queens,-73.822896,40.602882
31,Bronx Park,Bronx,-73.875124,40.860311
32,Bronxdale,Bronx,-73.865415,40.862116
33,Brooklyn Heights,Brooklyn,-73.995501,40.696964
34,Brooklyn Navy Yard,Brooklyn,-73.974176,40.702702
35,Brownsville,Brooklyn,-73.910329,40.663991
36,Bushwick North,Brooklyn,-73.916834,40.69926
37,Bushwick South,Brooklyn,-73.923919,40.695465
38,Cambria Heights,Queens,-73.73553,40.695105
39,Canarsie,Brooklyn,-73.891706,40.642482
40,Carroll Gardens,Brooklyn,-73.996626,40.6779
41,Central Harlem,Manhattan,-73.950573,40.803356
42,Central Harlem North,Manhattan,-73.937075,40.826385
43,Central Park,Manhattan,-73.966499,40.781507
44,Charleston/Tottenville,Staten Island,-74.23735,40.52994
45,Chinatown,Manhattan,-73.998049,40.711568
46,City Island,Bronx,-73.785851,40.850268
47,Claremont/Bathgate,Bronx,-73.900472,40.843214
48,Clinton East,Manhattan,-73.990744,40.761398
49,Clinton Hill,Brooklyn,-73.961382,40.690255
50,Clinton West,Manhattan,-73.997474,40.767838
51,Co-Op City,Bronx,-73.83037,40.875532
52,Cobble Hill,Brooklyn,-73.99624,40.68652
53,College Point,Queens,-73.851061,40.78324
54,Columbia Street,Brooklyn,-74.003751,40.687492
55,Coney Island,Brooklyn,-73.987968,40.575391
56,Corona,Queens,-73.856608,40.740792
57,Corona,Queens,-73.85333,40.752093
58,Country Club,Bronx,-73.815215,40.843988
59,Crotona Park,Bronx,-73.895051,40.837955
60,Crotona Park East,Bronx,-73.883431,40.835268
61,Crown Heights North,Brooklyn,-73.935579,40.675124
62,Crown Heights South,Brooklyn,-73.946329,40.666217
63,Cypress Hills,Brooklyn,-73.884573,40.680952
64,Douglaston,Queens,-73.748633,40.762636
65,Downtown Brooklyn/MetroTech,Brooklyn,-73.985238,40.695871
66,DUMBO/Vinegar Hill,Brooklyn,-73.987687,40.703133
67,Dyker Heights,Brooklyn,-74.015043,40.617434
68,East Chelsea,Manhattan,-74.000554,40.748251
69,East Concourse/Concourse Village,Bronx,-73.915132,40.830583
70,East Elmhurst,Queens,-73.865871,40.763274
71,East Flatbush/Farragut,Brooklyn,-73.935957,40.64276
72,East Flatbush/Remsen Village,Brooklyn,-73.921482,40.652594
73,East Flushing,Queens,-73.807169,40.752945
74,East Harlem North,Manhattan,-73.934012,40.804589
75,East Harlem South,Manhattan,-73.941879,40.788256
76,East New York,Brooklyn,-73.875537,40.654821
77,East New York/Pennsylvania Avenue,Brooklyn,-73.894884,40.667111
78,East Tremont,Bronx,-73.881202,40.843783
79,East Village,Manhattan,-73.986487,40.726759
80,East Williamsburg,Brooklyn,-73.930822,40.715051
81,Eastchester,Bronx,-73.831025,40.881657
82,Elmhurst,Queens,-73.87952,40.737206
83,Elmhurst/Maspeth,Queens,-73.892881,40.737892
84,Eltingville/Annadale/Prince's Bay,Staten Island,-74.192551,40.520526
85,Erasmus,Brooklyn,-73.951888,40.645797
86,Far Rockaway,Queens,-73.757557,40.602718
87,Financial District North,Manhattan,-74.00555,40.704632
88,Financial District South,Manhattan,-74.011811,40.701273
89,Flatbush/Ditmas Park,Brooklyn,-73.962099,40.636982
90,Flatiron,Manhattan,-73.996789,40.742189
91,Flatlands,Brooklyn,-73.929379,40.628121
92,Flushing,Queens,-73.827662,40.760281
93,Flushing Meadows-Corona Park,Queens,-73.845893,40.74752
94,Fordham South,Bronx,-73.898926,40.858689
95,Forest Hills,Queens,-73.844788,40.721279
96,Forest Park/Highland Park,Queens,-73.864212,40.699807
97,Fort Greene,Brooklyn,-73.977612,40.691577
98,Fresh Meadows,Queens,-73.774901,40.731966
99,Freshkills Park,Staten Island,-74.203182,40.568229
100,Garment District,Manhattan,-73.988716,40.753386
101,Glen Oaks,Queens,-73.715607,40.746497
102,Glendale,Queens,-73.877066,40.701803
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.045772,40.690331
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.040585,40.699489
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.016959,40.690011
106,Gowanus,Brooklyn,-73.991874,40.673823
107,Gramercy,Manhattan,-73.984269,40.736706
108,Gravesend,Brooklyn,-73.988621,40.586563
109,Great Kills,Staten Island,-74.143517,40.543051
110,Great Kills Park,Staten Island,-74.129981,40.540366
111,Green-Wood Cemetery,Brooklyn,-73.990663,40.653079
112,Greenpoint,Brooklyn,-73.950516,40.734392
113,Greenwich Village North,Manhattan,-73.994202,40.731907
114,Greenwich Village South,Manhattan,-73.996964,40.727635
115,Grymes Hill/Clifton,Staten Island,-74.084474,40.618922
116,Hamilton Heights,Manhattan,-73.950727,40.82792
117,Hammels/Arverne,Queens,-73.791317,40.596829
118,Heartland Village/Todt Hill,Staten Island,-74.128432,40.588551
119,Highbridge,Bronx,-73.926264,40.837938
120,Highbridge Park,Manhattan,-73.931324,40.844861
121,Hillcrest/Pomonok,Queens,-73.80536,40.728358
122,Hollis,Queens,-73.764021,40.710434
123,Homecrest,Brooklyn,-73.96473,40.598265
124,Howard Beach,Queens,-73.847374,40.655356
125,Hudson Sq,Manhattan,-74.008916,40.72576
126,Hunts Point,Bronx,-73.889129,40.807364
127,Inwood,Manhattan,-73.917485,40.862595
128,Inwood Hill Park,Manhattan,-73.92138,40.874656
129,Jackson Heights,Queens,-73.887182,40.759475
130,Jamaica,Queens,-73.790528,40.706139
131,Jamaica Estates,Queens,-73.777825,40.719546
132,JFK Airport,Queens,-73.783741,40.639071
133,Kensington,Brooklyn,-73.97651,40.640734
134,Kew Gardens,Queens,-73.83162,40.708555
135,Kew Gardens Hills,Queens,-73.820876,40.727876
136,Kingsbridge Heights,Bronx,-73.907761,40.865124
137,Kips Bay,Manhattan,-73.973821,40.737885
138,LaGuardia Airport,Queens,-73.872821,40.774628
139,Laurelton,Queens,-73.745068,40.676719
140,Lenox Hill East,Manhattan,-73.95572,40.763907
141,Lenox Hill West,Manhattan,-73.960113,40.76562
142,Lincoln Square East,Manhattan,-73.982296,40.771314
143,Lincoln Square West,Manhattan,-73.990065,40.776394
144,Little Italy/NoLiTa,Manhattan,-73.996675,40.72097
145,Long Island City/Hunters Point,Queens,-73.954881,40.742516
146,Long Island City/Queens Plaza,Queens,-73.935791,40.75312
147,Longwood,Bronx,-73.898566,40.819743
148,Lower East Side,Manhattan,-73.991218,40.718267
149,Madison,Brooklyn,-73.946444,40.605565
150,Manhattan Beach,Brooklyn,-73.94123,40.581247
